,code,areaName,houseType,households,HouseholdSize,Households
0,E12000004,East Midlands,commercial,13204,h0,0
1,E12000004,East Midlands,commercial,13204,h1,597177
2,E12000004,East Midlands,commercial,13204,h2,597177
3,E12000004,East Midlands,commercial,13204,h3,730945
4,E12000004,East Midlands,commercial,13204,h4,322451
5,E12000004,East Midlands,commercial,13204,h5,256146
6,E12000004,East Midlands,commercial,13204,h6,86624
7,E12000004,East Midlands,commercial,13204,h7,27834
8,E12000004,East Midlands,commercial,13204,h8plus,6773
9,E12000004,East Midlands,terraced,392641,h0,0
10,E12000004,East Midlands,terraced,392641,h1,597177
11,E12000004,East Midlands,terraced,392641,h2,597177
12,E12000004,East Midlands,terraced,392641,h3,730945
13,E12000004,East Midlands,terraced,392641,h4,322451
14,E12000004,East Midlands,terraced,392641,h5,256146
15,E12000004,East Midlands,terraced,392641,h6,86624
16,E12000004,East Midlands,terraced,392641,h7,27834
17,E12000004,East Midlands,terraced,392641,h8plus,6773
18,E12000004,East Midlands,flats,180578,h0,0
19,E12000004,East Midlands,flats,180578,h1,597177
20,E12000004,East Midlands,flats,180578,h2,597177
21,E12000004,East Midlands,flats,180578,h3,730945
22,E12000004,East Midlands,flats,180578,h4,322451
23,E12000004,East Midlands,flats,180578,h5,256146
24,E12000004,East Midlands,flats,180578,h6,86624
25,E12000004,East Midlands,flats,180578,h7,27834
26,E12000004,East Midlands,flats,180578,h8plus,6773
27,E12000004,East Midlands,detached,676024,h0,0
28,E12000004,East Midlands,detached,676024,h1,597177
29,E12000004,East Midlands,detached,676024,h2,597177
30,E12000004,East Midlands,detached,676024,h3,730945
31,E12000004,East Midlands,detached,676024,h4,322451
32,E12000004,East Midlands,detached,676024,h5,256146
33,E12000004,East Midlands,detached,676024,h6,86624
34,E12000004,East Midlands,detached,676024,h7,27834
35,E12000004,East Midlands,detached,676024,h8plus,6773
36,E12000004,East Midlands,semiDetached,727740,h0,0
37,E12000004,East Midlands,semiDetached,727740,h1,597177
38,E12000004,East Midlands,semiDetached,727740,h2,597177
