code,areaName,region,0,1,2,3,4,5,6,7,8
0,13616,13844,6780,4547,1519,440,115,69,E06000001,Hartlepool,E12000001
0,19964,18783,9819,7078,2823,1131,420,244,E06000002,Middlesbrough,E12000001
0,20663,21884,9591,6554,2136,590,143,77,E06000003,Redcar and Cleveland,E12000001
0,25980,28734,13771,10297,3311,1013,407,243,E06000004,Stockton-on-Tees,E12000001
0,16714,17262,7362,5287,1679,444,122,52,E06000005,Darlington,E12000001
0,17702,18910,9487,6809,2207,615,155,66,E06000006,Halton,E12000002
0,45678,61113,21775,17064,4743,1239,316,139,E06000011,East Riding of Yorkshire,E12000003
0,22718,24895,10966,7689,2535,693,227,103,E06000012,North East Lincolnshire,E12000003
0,26640,31780,12557,10372,2960,838,195,117,E06000014,York,E12000003
0,33054,33738,16423,13325,5234,1998,812,1068,E06000015,Derby,E12000004
0,4786,6814,2344,1994,583,126,36,11,E06000017,Rutland,E12000004
0,41971,37590,18696,14280,6776,3115,1284,1033,E06000018,Nottingham,E12000004
0,25434,32073,11947,9298,2946,796,228,106,E06000019,Herefordshire,E12000005
0,21205,27059,13055,9695,3620,1232,410,234,E06000020,Telford and Wrekin,E12000005
0,36179,36854,17327,12078,5033,1783,715,429,E06000021,Stoke-on-Trent,E12000005
0,57862,64236,30135,25245,8788,3225,1181,967,E06000023,Bristol,E12000009
0,29090,34811,13872,12183,3475,877,222,119,E06000024,North Somerset,E12000009
0,37338,40178,17651,13129,4290,1347,379,245,E06000026,Plymouth,E12000009
0,21883,22917,8508,6310,2235,714,245,182,E06000027,Torbay,E12000009
0,23516,26700,14515,11619,4858,2019,769,536,E06000031,Peterborough,E12000006
0,21068,20469,13153,11529,6476,3335,1596,1314,E06000032,Luton,E12000006
0,30462,35753,19650,16738,6200,1875,524,256,E06000035,Medway,E12000008
0,13465,16970,8935,7743,2258,639,162,76,E06000036,Bracknell Forest,E12000008
0,18008,24134,11005,9680,2807,748,207,69,E06000037,West Berkshire,E12000008
0,19262,21183,11577,9585,3685,1426,584,381,E06000038,Reading,E12000008
0,11948,11950,9848,9564,4666,2369,1011,1067,E06000039,Slough,E12000008
0,16715,20250,10329,9479,2754,865,264,279,E06000040,Windsor and Maidenhead,E12000008
0,16265,23529,12396,12405,3405,832,223,109,E06000041,Wokingham,E12000008
0,29795,36133,20168,17498,6312,2152,668,376,E06000042,Milton Keynes,E12000008
0,42101,40770,18122,14243,4244,1380,352,190,E06000043,Brighton and Hove,E12000008
0,27607,27805,13930,10788,4032,1291,476,225,E06000044,Portsmouth,E12000008
0,33711,32884,15636,12333,4934,1822,593,378,E06000045,Southampton,E12000008
0,79529,84630,36310,24430,7040,2042,541,237,E06000047,County Durham,E12000001
0,46887,56529,25045,19291,5455,1390,375,182,E06000050,Cheshire West and Chester,E12000002
0,41428,54661,20205,16078,4835,1396,505,471,E06000051,Shropshire,E12000005
0,307,402,94,95,26,11,3,5,E06000053,Isles of Scilly,E12000009
0,60574,81164,33692,28205,8490,2186,535,237,E06000054,Wiltshire,E12000009
0,21448,24647,12411,10569,3831,1325,439,280,E06000055,Bedford,E12000006
0,31171,43254,21077,18141,5197,1365,376,172,E06000056,Central Bedfordshire,E12000006
0,48149,56863,21121,15118,4219,1073,268,111,E06000057,Northumberland,E12000001
0,56531,61650,25969,20627,6340,1877,568,279,E06000058,Bournemouth Christchurch and Poole,E12000009
0,51741,68961,22917,18049,5470,1488,408,223,E06000059,Dorset,E12000009
0,57889,74977,36693,34470,11108,3331,1107,753,E06000060,Buckinghamshire,E12000008
0,40715,52937,25312,20317,6749,2096,530,263,E06000061,North Northamptonshire,E12000004
0,46474,60072,29420,24645,8312,2506,767,445,E06000062,West Northamptonshire,E12000004
0,16660,17050,8400,6525,2085,775,323,655,E07000008,Cambridge,E12000006
0,10291,13877,5901,5140,1488,358,99,49,E07000009,East Cambridgeshire,E12000006
0,12787,16857,6928,4979,1709,573,170,80,E07000010,Fenland,E12000006
0,17574,24328,10870,10359,2995,665,132,73,E07000012,South Cambridgeshire,E12000006
0,14672,16517,6194,4767,1344,347,80,51,E07000026,Allerdale,E12000002
0,11308,10798,4493,3298,1008,260,61,32,E07000027,Barrow-in-Furness,E12000002
0,17780,18164,7232,5235,1655,436,105,56,E07000028,Carlisle,E12000002
0,10565,11246,4396,3276,948,265,70,23,E07000029,Copeland,E12000002
0,7618,9858,3298,2617,862,241,66,53,E07000030,Eden,E12000002
0,15487,19224,6223,4981,1329,297,72,43,E07000031,South Lakeland,E12000002
0,17166,21621,8525,6564,1761,441,136,64,E07000032,Amber Valley,E12000004
0,10539,13197,5779,4050,1228,329,99,41,E07000033,Bolsover,E12000004
0,17066,17159,6878,4939,1472,387,100,58,E07000034,Chesterfield,E12000004
0,9890,13182,4401,3511,986,233,57,23,E07000035,Derbyshire Dales,E12000004
0,15551,18742,8049,5803,1606,443,99,41,E07000036,Erewash,E12000004
0,12944,15089,6159,4811,1332,334,74,29,E07000037,High Peak,E12000004
0,14305,17761,6755,5291,1402,350,80,43,E07000038,North East Derbyshire,E12000004
0,17021,17881,7823,6378,2215,814,263,158,E07000041,Exeter,E12000009
0,10238,13825,5031,4448,1468,427,119,75,E07000042,Mid Devon,E12000009
0,13257,16576,6096,4968,1605,477,136,82,E07000043,North Devon,E12000009
0,18406,23537,8351,6722,2012,573,157,79,E07000045,Teignbridge,E12000009
0,9330,12392,4058,3100,1066,364,97,53,E07000046,Torridge,E12000009
0,7300,10182,3325,2711,919,251,72,59,E07000047,West Devon,E12000009
0,16205,15668,6398,4909,1670,511,162,87,E07000061,Eastbourne,E12000008
0,14441,13249,5951,4419,1623,503,168,99,E07000062,Hastings,E12000008
0,13539,16174,6478,5236,1663,427,137,34,E07000063,Lewes,E12000008
0,17774,23651,10603,9082,2846,747,204,77,E07000067,Braintree,E12000006
0,9402,10940,5285,4908,1365,327,79,36,E07000068,Brentwood,E12000006
